"time_ms","time_sec","lanes","lane_count","duration_ms","type","section","pattern","intent"
"22059","22.059","J","1","0","tap","classroom groove","classroom_hold_breath","right answer after hold Straight-beat revision: snapped to quarter-beat 31."
"22642","22.642","D","1","0","tap","classroom groove","classroom_walk","return to D F J K motif Straight-beat revision: snapped to quarter-beat 32."
"23224","23.224","F","1","0","tap","classroom groove","classroom_walk","steady beat support Straight-beat revision: snapped to quarter-beat 33."
"24389","24.389","J","1","0","tap","classroom groove","classroom_walk","melody-side answer Straight-beat revision: snapped to quarter-beat 35."
"24972","24.972","K","1","0","tap","classroom groove","classroom_answer_chord","reverse motif lead-in Straight-beat revision: snapped to quarter-beat 36."
"25554","25.554","J","1","0","tap","classroom groove","classroom_answer_chord","right-side lift Straight-beat revision: snapped to quarter-beat 37."
"26719","26.719","F+K","2","0","chord","classroom groove","classroom_answer_chord","bright chord on the stronger bar-9 pulse Straight-beat revision: snapped to quarter-beat 39."
"27302","27.302","D","1","0","tap","classroom groove","classroom_soft_call","strong bar-10 downbeat anchor Straight-beat revision: snapped to quarter-beat 40."
"28467","28.467","J","1","0","tap","classroom groove","classroom_soft_call","answer to the late pulse Straight-beat revision: snapped to quarter-beat 42."
"29632","29.632","D","1","0","tap","after-school build","classroom_build_step","build starts with a clear left anchor Straight-beat revision: snapped to quarter-beat 44."
"30215","30.215","F","1","0","tap","after-school build","classroom_build_step","small pickup, not a fast run Straight-beat revision: snapped to quarter-beat 45."
"30797","30.797","J","1","0","tap","after-school build","classroom_build_step","right answer Straight-beat revision: snapped to quarter-beat 46."
"31380","31.380","K","1","0","tap","after-school build","classroom_build_step","close the phrase Straight-beat revision: snapped to quarter-beat 47."
"31962","31.962","K","1","0","tap","after-school build","classroom_build_step","reverse build anchor Straight-beat revision: snapped to quarter-beat 48."
"32545","32.545","J","1","0","tap","after-school build","classroom_build_step","reverse lift Straight-beat revision: snapped to quarter-beat 49."
"33127","33.127","F","1","0","tap","after-school build","classroom_build_step","left answer Straight-beat revision: snapped to quarter-beat 50."
"34292","34.292","D","1","0","tap","after-school build","classroom_answer_chord","bar-13 downbeat anchor Straight-beat revision: snapped to quarter-beat 52."
"34875","34.875","F","1","0","tap","after-school build","classroom_answer_chord","soft pickup Straight-beat revision: snapped to quarter-beat 53."
"35457","35.457","D+J","2","0","chord","after-school build","classroom_answer_chord","split-hand accent on the phrase lift Straight-beat revision: snapped to quarter-beat 54."
"36622","36.622","J","1","583","hold","after-school build","classroom_hold_breath","right-side sustain for a calmer build bar Straight-beat revision: snapped to quarter-beat 56."
"37787","37.787","F","1","0","tap","after-school build","classroom_hold_breath","soft answer after sustain Straight-beat revision: snapped to quarter-beat 58."
"38952","38.952","D","1","0","tap","after-school build","classroom_build_step","return build anchor Straight-beat revision: snapped to quarter-beat 60."
"39535","39.535","F","1","0","tap","after-school build","classroom_build_step","left lift Straight-beat revision: snapped to quarter-beat 61."
"40118","40.118","J","1","0","tap","after-school build","classroom_build_step","right answer Straight-beat revision: snapped to quarter-beat 62."
"41283","41.283","K","1","0","tap","after-school build","classroom_soft_call","breath before highlight Straight-beat revision: snapped to quarter-beat 64."
"42448","42.448","D","1","0","tap","after-school build","classroom_soft_call","left-side setup for the high section Straight-beat revision: snapped to quarter-beat 66."
"43613","43.613","D","1","0","tap","clubroom highlight","classroom_highlight_soft","highlight motif starts on strong audio energy Straight-beat revision: snapped to quarter-beat 68."
"44195","44.195","F","1","0","tap","clubroom highlight","classroom_highlight_soft","small lift Straight-beat revision: snapped to quarter-beat 69."
"44778","44.778","J","1","0","tap","clubroom highlight","classroom_highlight_soft","right answer Straight-beat revision: snapped to quarter-beat 70."
"45360","45.360","D+J","2","0","chord","clubroom highlight","classroom_highlight_soft","friendly payoff chord Straight-beat revision: snapped to quarter-beat 71."
"45943","45.943","K","1","0","tap","clubroom highlight","classroom_highlight_soft","reverse highlight anchor Straight-beat revision: snapped to quarter-beat 72."
"46525","46.525","J","1","0","tap","clubroom highlight","classroom_highlight_soft","reverse lift Straight-beat revision: snapped to quarter-beat 73."
"47108","47.108","F","1","0","tap","clubroom highlight","classroom_highlight_soft","left answer Straight-beat revision: snapped to quarter-beat 74."
"47690","47.690","F+K","2","0","chord","clubroom highlight","classroom_highlight_soft","bright payoff chord Straight-beat revision: snapped to quarter-beat 75."
"48273","48.273","D","1","583","hold","clubroom highlight","classroom_highlight_hold","left sustain on the energetic phrase Straight-beat revision: snapped to quarter-beat 76."
"48855","48.855","J","1","0","tap","clubroom highlight","classroom_highlight_hold","single tap after the sustain Straight-beat revision: snapped to quarter-beat 77."
"50020","50.020","K","1","583","hold","clubroom highlight","classroom_highlight_hold","short K sustain follows the bar-20 sound Straight-beat revision: snapped to quarter-beat 79."
"51768","51.768","F+J","2","0","chord","clubroom highlight","classroom_highlight_hold","K hold resolves into F+J, avoiding awkward K overlap Straight-beat revision: snapped to quarter-beat 82."
"52351","52.351","F","1","0","tap","clubroom highlight","classroom_highlight_soft","lighter high-section recovery Straight-beat revision: snapped to quarter-beat 83."
"53516","53.516","J","1","0","tap","clubroom highlight","classroom_highlight_soft","answer on the melody side Straight-beat revision: snapped to quarter-beat 85."
"54098","54.098","D+K","2","0","chord","clubroom highlight","classroom_highlight_soft","outer-lane accent without adding a fast run Straight-beat revision: snapped to quarter-beat 86."
"54681","54.681","D","1","0","tap","quiet reset","classroom_reset","post-highlight recovery downbeat Straight-beat revision: snapped to quarter-beat 87."
"55846","55.846","J","1","0","tap","quiet reset","classroom_reset","late answer on the stronger pulse Straight-beat revision: snapped to quarter-beat 89."
"57011","57.011","K","1","0","tap","quiet reset","classroom_reset","right-side recovery anchor Straight-beat revision: snapped to quarter-beat 91."
"58758","58.758","F","1","0","tap","quiet reset","classroom_reset","soft left answer Straight-beat revision: snapped to quarter-beat 94."
"59341","59.341","D","1","0","tap","return groove","classroom_walk","return groove anchor Straight-beat revision: snapped to quarter-beat 95."
"59923","59.923","F","1","0","tap","return groove","classroom_walk","return groove lift Straight-beat revision: snapped to quarter-beat 96."
"60506","60.506","J","1","0","tap","return groove","classroom_walk","return answer Straight-beat revision: snapped to quarter-beat 97."
"61671","61.671","K","1","0","tap","return groove","classroom_walk","reverse return anchor Straight-beat revision: snapped to quarter-beat 99."
"62253","62.253","J","1","0","tap","return groove","classroom_walk","reverse answer Straight-beat revision: snapped to quarter-beat 100."
"63418","63.418","F+K","2","0","chord","return groove","classroom_answer_chord","small chord on the phrase end Straight-beat revision: snapped to quarter-beat 102."
"64001","64.001","D","1","0","tap","return groove","classroom_soft_call","lower-density continuation Straight-beat revision: snapped to quarter-beat 103."
"65166","65.166","J","1","0","tap","return groove","classroom_soft_call","late response Straight-beat revision: snapped to quarter-beat 105."
"66331","66.331","F","1","583","hold","return groove","classroom_hold_breath","brief sustain before final phrase Straight-beat revision: snapped to quarter-beat 107."
"67496","67.496","K","1","0","tap","return groove","classroom_hold_breath","clean tap after sustain Straight-beat revision: snapped to quarter-beat 109."
"68661","68.661","D","1","0","tap","final bell","classroom_final_cadence","final phrase begins with a clear left anchor Straight-beat revision: snapped to quarter-beat 111."
"69244","69.244","F","1","0","tap","final bell","classroom_final_cadence","gentle lift Straight-beat revision: snapped to quarter-beat 112."
"69826","69.826","J","1","0","tap","final bell","classroom_final_cadence","right answer Straight-beat revision: snapped to quarter-beat 113."
"70991","70.991","K","1","0","tap","final bell","classroom_final_cadence","bar-29 final-energy anchor Straight-beat revision: snapped to quarter-beat 115."
"71574","71.574","J","1","0","tap","final bell","classroom_final_cadence","answer to the stronger late pulse Straight-beat revision: snapped to quarter-beat 116."
"72156","72.156","D+J","2","0","chord","final bell","classroom_final_cadence","small final chord payoff Straight-beat revision: snapped to quarter-beat 117."
"73321","73.321","F","1","0","tap","final bell","classroom_reset","low-energy bar gets only a small tap Straight-beat revision: snapped to quarter-beat 119."
"75069","75.069","D","1","0","tap","final bell","classroom_final_cadence","late pickup after the soft bar Straight-beat revision: snapped to quarter-beat 122."
"76817","76.817","K","1","0","tap","final bell","classroom_final_cadence","right-side answer Straight-beat revision: snapped to quarter-beat 125."
"77399","77.399","D","1","0","tap","final bell","classroom_final_cadence","strong final bar downbeat Straight-beat revision: snapped to quarter-beat 126."
"77982","77.982","F","1","0","tap","final bell","classroom_final_cadence","final lift Straight-beat revision: snapped to quarter-beat 127."
"79147","79.147","J","1","0","tap","final bell","classroom_final_cadence","melody-side hit Straight-beat revision: snapped to quarter-beat 129."
"79729","79.729","K","1","0","tap","final bell","classroom_final_cadence","last audible phrase anchor Straight-beat revision: snapped to quarter-beat 130."
"81477","81.477","F+J","2","0","chord","final bell","classroom_final_cadence","last split-hand agreement before the ending silence Straight-beat revision: snapped to quarter-beat 133."
"82059","82.059","D","1","0","tap","final bell","classroom_final_cadence","soft closing tap before the final silent tail Straight-beat revision: snapped to quarter-beat 134."
"83224","83.224","D+K","2","0","chord","final bell","classroom_final_cadence","final outer chord, safely before the last three seconds Straight-beat revision: snapped to quarter-beat 136."
