time_ms,time_sec,lane,lanes,type,duration_ms,section,pattern,intent
62400,62.400,D,D,tap,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. highlight quarter loop
62700,62.700,F,F,tap,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. short lift
63300,63.300,J,J,tap,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. right answer
63900,63.900,K,K,tap,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. right cadence
64200,64.200,D+J,D+J,chord,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. D+J accent
64800,64.800,K,K,tap,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. highlight reverse loop
65100,65.100,J,J,tap,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. short lift
65700,65.700,F,F,tap,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. left answer
66300,66.300,D,D,tap,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. left cadence
66600,66.600,F+K,F+K,chord,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. F+K accent
67200,67.200,D,D,tap,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. highlight quarter loop
67500,67.500,F,F,tap,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. short lift
68100,68.100,J,J,tap,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. right answer
68700,68.700,K,K,tap,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. right cadence
69000,69.000,D+J,D+J,chord,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. D+J accent
69600,69.600,K,K,tap,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. highlight reverse loop
69900,69.900,J,J,tap,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. short lift
70500,70.500,F,F,tap,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. left answer
71100,71.100,D,D,tap,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. left cadence
71400,71.400,F+K,F+K,chord,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. F+K accent
72000,72.000,D,D,hold,600,highlight,easy_high_hold,Highlight hold phrase without extra chord pressure. short left hold
72900,72.900,F,F,tap,0,highlight,easy_high_hold,Highlight hold phrase without extra chord pressure. inner tap
73500,73.500,K,K,hold,600,highlight,easy_high_hold,Highlight hold phrase without extra chord pressure. short right hold
74400,74.400,D,D,tap,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. highlight quarter loop
74700,74.700,F,F,tap,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. short lift
75300,75.300,J,J,tap,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. right answer
75900,75.900,K,K,tap,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. right cadence
76200,76.200,D+J,D+J,chord,0,highlight,easy_high_A,Easy highlight density using DFJK plus one readable chord. D+J accent
76800,76.800,K,K,tap,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. highlight reverse loop
77100,77.100,J,J,tap,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. short lift
77700,77.700,F,F,tap,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. left answer
78300,78.300,D,D,tap,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. left cadence
78600,78.600,F+K,F+K,chord,0,highlight,easy_high_B,Easy highlight reverse density with F+K accent. F+K accent
79200,79.200,D,D,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. recovery anchor
79800,79.800,F,F,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. inner response
80700,80.700,J,J,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. wide-gap right answer
81600,81.600,K,K,tap,0,steady drive,easy_drive_B,Post-highlight reverse recovery. reverse recovery anchor
82200,82.200,J,J,tap,0,steady drive,easy_drive_B,Post-highlight reverse recovery. inner response
83100,83.100,F,F,tap,0,steady drive,easy_drive_B,Post-highlight reverse recovery. wide-gap left answer
84000,84.000,D,D,hold,600,steady drive,easy_drive_hold,Simple hold recovery phrase. hold recovery
85200,85.200,K,K,tap,0,steady drive,easy_drive_hold,Simple hold recovery phrase. far response
86400,86.400,D,D,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. recovery anchor
87000,87.000,F,F,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. inner response
87900,87.900,J,J,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. wide-gap right answer
88800,88.800,D,D,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. recovery anchor
89400,89.400,F,F,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. inner response
90300,90.300,J,J,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. wide-gap right answer
91200,91.200,K,K,tap,0,steady drive,easy_drive_B,Post-highlight reverse recovery. reverse recovery anchor
91800,91.800,J,J,tap,0,steady drive,easy_drive_B,Post-highlight reverse recovery. inner response
92700,92.700,F,F,tap,0,steady drive,easy_drive_B,Post-highlight reverse recovery. wide-gap left answer
93600,93.600,D,D,hold,600,steady drive,easy_drive_hold,Simple hold recovery phrase. hold recovery
94800,94.800,K,K,tap,0,steady drive,easy_drive_hold,Simple hold recovery phrase. far response
96000,96.000,D,D,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. recovery anchor
96600,96.600,F,F,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. inner response
97500,97.500,J,J,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. wide-gap right answer
98400,98.400,D,D,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. recovery anchor
99000,99.000,F,F,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. inner response
99900,99.900,J,J,tap,0,steady drive,easy_drive_A,Post-highlight recovery using familiar DFJK fragments. wide-gap right answer
100800,100.800,K,K,tap,0,steady drive,easy_drive_B,Post-highlight reverse recovery. reverse recovery anchor
101400,101.400,J,J,tap,0,steady drive,easy_drive_B,Post-highlight reverse recovery. inner response
102300,102.300,F,F,tap,0,steady drive,easy_drive_B,Post-highlight reverse recovery. wide-gap left answer
103200,103.200,D,D,hold,600,release,easy_release_A,Cooldown with large spacing. cooldown hold
104700,104.700,J,J,tap,0,release,easy_release_A,Cooldown with large spacing. wide-gap answer
105600,105.600,K,K,hold,600,release,easy_release_B,Reverse cooldown with large spacing. cooldown hold
107100,107.100,F,F,tap,0,release,easy_release_B,Reverse cooldown with large spacing. wide-gap answer
108000,108.000,D,D,hold,600,release,easy_release_A,Cooldown with large spacing. cooldown hold
109500,109.500,J,J,tap,0,release,easy_release_A,Cooldown with large spacing. wide-gap answer
110400,110.400,K,K,hold,600,release,easy_release_B,Reverse cooldown with large spacing. cooldown hold
111900,111.900,F,F,tap,0,release,easy_release_B,Reverse cooldown with large spacing. wide-gap answer
112800,112.800,D,D,tap,0,outro,easy_outro_A,Two-note final cadence. ending anchor
114000,114.000,J,J,tap,0,outro,easy_outro_A,Two-note final cadence. ending answer
115200,115.200,F,F,hold,600,outro,easy_outro_B,Final hold and pickup. final short hold
116400,116.400,K,K,tap,0,outro,easy_outro_B,Final hold and pickup. last pickup
117600,117.600,D,D,tap,0,outro,easy_outro_A,Two-note final cadence. ending anchor
